rank,clan_name,member_num,leader_name,damage,lap,boss_id,remain,grade_rank
1,皛三会主会冲三大失败,30,柠檬保3招指排轴F,2067611555,19,1,294222,0
2,同萌协会up,30,临渊结网,2013587473,18,5,14204175,2
3,月下莲,30,玄文^,1980227413,18,4,6389034,3
4,三白的后宫团,30,徐公大笨笨*丶群简,1978142821,18,4,7222871,1
5,路人公会的养成方法,30,不可不可v 各位祝欧,1948166433,18,3,7213426,5
6,泡泡茶壶,30,幸运小剑F,1942710114,18,3,9395954,8
7,水箭龟nmsl,30,DLL（看简介吃瓜）,1941831900,18,3,9747240,10
8,魔灵学院,30,小百灵i,1939563044,18,2,818478,22
9,三白后宫团冲锋会,30,佑树i,1938200551,18,2,1499724,12
10,咸鱼湾,30,川澄舞,1933817079,18,2,3691460,4
11,软饭团,30,闲棋清茶,1928096659,18,2,6551670,6
12,休闲养老没烦恼,30,快看彩虹,1920389189,18,1,2405405,7
13,QAQ未闻花名,30,小鲤鱼历险记,1916641114,18,1,4279443,11
14,灬欧洲兔兔连萌灬,30,兔兔灬狐狸贴贴,1909968293,17,5,1077235,14
15,运气游戏大家不要上头,30,搞笑艺人猪扒哥,1908372968,17,5,1609010,16
16,天枢,30,QAQ,1905168905,17,5,2677031,9
17,3518故事会,30,零薇不拒,1902910081,17,5,3429973,17
18,希望之花下班了,30,奥德修斯奥尔加Y,1890727421,17,5,7490859,18
19,心理疾病医院,30,Monokuma,1890144837,17,5,7685054,15
20,猫猫连结（已自闭）,30,流炫（招人看简介）,1875473525,17,5,12575491,23
21,洗浴中心,30,朔月,1872388679,17,5,13603773,24
22,圣骑士团会长不配出刀,30,PAL.酒宝代抽真神,1866306622,17,5,15631126,19
23,加把劲骑士团,30,迪克,1866259903,17,5,15646699,28
24,迦勒底的异世界观星所,30,白上猫咪,1843496880,17,4,3881248,21
25,尋　夢,30,痕咕,1843335297,17,4,3945881,0
26,观潮阁,30,贤狼赫萝,1832603418,17,4,8238632,32
27,QAQ品红色的照相馆,30,decade,1824719272,17,4,11392291,26
28,Re:0,30,dio,1821164502,17,3,814199,33
29,宫商角徵羽,30,a小珊珊,1819099844,17,3,1640062,27
30,玉衡,30,安,1803471024,17,3,7891590,34
31,Charlotte,30,墨不染,1801101240,17,3,8839504,13
32,拉比林斯,30,在哪都是秋刀鱼,1796159959,17,2,1020020,0
33,QAQ魔女之旅,30,星辰酱i(简介),1789824111,17,2,4187944,45
34,万年传承幻想乡,30,妖梦,1785885860,17,2,6157070,30
35,爱酱保护协会,30,珈百璃,1779521861,17,1,1339069,36
36,会长急救中心,30,会长火化中心,1777663246,17,1,2268377,37
37,圣威院,30,星回尘河,1775830088,17,1,3184956,44
38,五等分的肥宅,30,五等分的肥宅招人,1771403110,17,1,5398445,39
39,咕噜灵波~转一圈？,30,yuki,1758372810,16,5,3942396,51
40,梦与魔法的乐园,30,梦天真,1754985142,16,5,5071619,55
41,瑶光,30,Masami（简介群,1753834802,16,5,5455066,58
42,风域,30,九霄i,1750115834,16,5,6694722,53
43,真步公主护卫会,30,柚柚子,1748067960,16,5,7377346,42
44,诛天,30,猫薄荷丶群简^,1745847113,16,5,8117629,47
45,QAQ萌国联邦,30,~利姆露~i（吃井咯,1745687381,16,5,8170873,35
46,流光雾中萤,30,见切 FHi,1739407713,16,5,10264095,41
47,炼铜术士聚集地,30,奥修,1739252353,16,5,10315882,40
48,莫得感情的行会,30,babyi,1738361970,16,5,10612676,43
49,西红柿炒鸡蛋,30,非伤,1728242687,16,5,13985771,50
50,内鬼连结,30,白金之星py。f,1721190686,16,5,16336438,46
51,圣骑士团,30,PAL.韩清,1719958043,16,5,16747319,73
52,寻芳阁,30,安妙依爱连衣裙的青衣,1716604234,16,5,17865255,38
53,君悦君兮君不知,30,筱説,1714584452,16,5,18538516,54
54,星月晓颜,30,光月紫,1710620888,16,5,19859704,48
55,蜗仙居,30,小仓鼠黄瓜瓜  群i,1692191606,16,4,7203357,63
56,简简单单最真,30,青山七海,1682868325,16,4,10932670,52
57,印心招长期会战伙伴,30,水月丶（印心)群,1680463201,16,4,11894719,75
58,好运连连,30,三玖,1671016005,16,3,3673598,57
59,司姬协会,30,芈夜,1655384290,16,3,9926284,56
60,公主近卫团,30,叮咚丶,1639741651,16,2,7729174,69
61,龙骑兵团,30,衣黑（简介）,1636704039,16,1,1247980,79
62,星城,30,星辰,1631558198,16,1,3820901,62
63,月白,30,月白,1630375003,16,1,4412498,76
64,红魔馆,30,henntai,1612397594,15,5,4934135,77
65,某正义的巴别塔,30,欧皇,1611128831,15,5,5357056,65
66,风居住的街道,30,梦~三千,1592059430,15,5,11713523,61
67,龙宝 招看群活跃成员,30,迷路镇的库露宓,1587606693,15,5,13197769,90
68,獨行天下,30,腹黑的兔子,1580178692,15,5,15673769,60
69,灬欧洲兔兔集结灬,30,兔兔灬亦九,1580081246,15,5,15706251,81
70,幻想次元（收人看简介,30,欧~力给,1564372771,15,4,1130891,64
71,猫猫头联盟,30,近宗,1563212700,15,4,1594920,59
72,凯露酱的小鱼塘,30,ssc,1560024204,15,4,2870318,67
73,Tsnam丶大枫树,30,小美ker,1559790103,15,4,2963958,84
74,Freesia（招人,30,蜜柑,1548559467,15,4,7456213,115
75,莱茵娜娜米海盗团,30,挂牌会长,1548532175,15,4,7467130,95
76,QAQ盛夏泳装会,30,寂寞liu星雨,1547247981,15,4,7980807,88
77,大枫树,30,小不点儿^,1546170296,15,4,8411881,85
78,榴莲酱同学后援会,30,咖啡K,1540190718,15,4,10803712,80
79,随便一改就有了十个字,30,teaspree,1533288410,15,3,1564636,72
80,琉夏,30,犹汐,1533019603,15,3,1672158,66
81,圣剑,30,晗中歌,1531311641,15,3,2355343,93
82,圣骑士团,30,PAL.Glaum,1530152443,15,3,2819022,68
83,极星寮,30,陌路,1529930817,15,3,2907673,78
84,绫绫,30,阿绫,1528992570,15,3,3282972,70
85,茶百道大杯玉麒麟,30,伞伞,1527504974,15,3,3878010,122
86,蔷薇骑士团,30,my呀,1527053865,15,3,4058454,74
87,三刀出完睡饱饱,30,收人90829012,1524645822,15,3,5021671,71
88,洗浴二会,30,苦力怕a,1516658621,15,3,8216551,98
89,放学后茶会,30,諾蓓兒,1516294793,15,3,8362082,109
90,樱落,30,空星煌,1513485054,15,3,9485978,100
91,暖暖的铁匠铺,30,大锤80,1511780088,15,2,209956,117
92,公主的顶点,30,本亚,1510816320,15,2,691840,91
93,喵喵连结,30,kami（jjc已挖,1510779856,15,2,710072,158
94,贰货乐园,30,贰货兔子,1507214939,15,2,2492530,187
95,水王八我鈤你仙人,30,狼灭附体的小智,1502641385,15,2,4779307,49
96,Kreator,30,伊莉雅丝菲尔丶简介^,1498018566,15,2,7090717,92
97,诛仙,30,夜弦,1494211048,15,1,994476,83
98,浪队,30,殇 ,1489110190,15,1,3544905,97
99,希希公主幼儿园,30,公主希露薇,1483968315,14,5,77228,82
100,缘念花,30,缘分,1479828607,14,5,1457131,86
101,潮鸣,30,记星,1476071343,14,5,2709552,175
102,喵喵,30,苏帝乄,1474874621,14,5,3108459,87
103,蜗仙斋,30,萌萌一号,1473221629,14,5,3659457,153
104,休闲养老下班早,30,无路赛,1472504370,14,5,3898543,101
105,hxd一起冲,30,a8,1469429552,14,5,4923482,105
106,星之愿招人中,30,k-on.F,1468777212,14,5,5140929,127
107,梦幻联动,30,yymxx,1468429092,14,5,5256969,99
108,小小牢狱,30,泡泡茶壶,1467366467,14,5,5611177,113
109,阵列猫,30,一纸残雪,1467215005,14,5,5661665,133
110,幻想乡,30,荧惑,1464575400,14,5,6541533,132
111,艾薇吃不饱,30,露娜（公会收人）,1462491975,14,5,7236008,89
112,Alpha,30,雪风大人会守护大家的,1459985040,14,5,8071653,107
113,种花家(招人),30,想要吃布丁嘛？,1458391476,14,5,8602841,120
114,纳萨里克大坟墓,30,莫莫伽,1448793252,14,5,11802249,104
115,洛樱殿,30,残月堕落,1448242513,14,5,11985829,114
116,风色幻想,30,辉pyX,1447550124,14,5,12216625,135
117,毛界招人ing,30,毛豆豆,1447457948,14,5,12247350,106
118,咸鱼想翻身,30,蓝色水瓶 （简介）,1446914601,14,5,12428466,96
119,Darling ,30,A兀庚畄叕,1444984022,14,5,13071992,110
120,诸神黄昏,30,云间空流乄,1442137476,14,5,14020841,112
121,初音MIKU幸运,30,磨刀老大爷,1434931018,14,5,16422994,123
122,彼岸花曼珠沙华,30,蛾子(简介,1432936003,14,5,17087999,128
123,咕咕咕之家,30,物述,1431282040,14,5,17639320,129
124,炸骗团伙,30,中野四叶i群简介,1427708862,14,5,18830379,131
125,彼岸茶会之花,30,大金金,1426804402,14,5,19131866,141
126,泠鸢尾几度花,30,冰小蓝,1425125016,14,5,19691661,102
127,一肚子坏水,30,Daya,1424660467,14,5,19846511,125
128,天使的心跳,30,毛裤,1418131923,14,4,2427230,111
129,无忧茶馆,30,眼缘,1411886968,14,4,4925212,126
130,妖猫之宿,30,风之痕,1403386198,14,4,8325520,145
131,复活社,30,骄阳赤妖 FH,1402856100,14,4,8537560,118
132,千恋丶万花灬丛云赛高,30,呓语,1402388682,14,4,8724527,130
133,公会之家,30,盐酥鸡腿菇i,1392395644,14,3,721742,146
134,秋之枫叶红,30,GoldGunner,1388980803,14,3,2087678,157
135,牧野行歌,30,逍遥,1387795710,14,3,2561716,137
136,闲鱼,30,[i]白,1386856603,14,3,2937358,136
137,蜗仙苑,30,仔仔,1386652508,14,3,3018996,190
138,鱼仔仔,30,大懒虫,1382922536,14,3,4510985,134
139,九州,30,零～潘德拉贡king,1379101757,14,3,6039297,229
140,梦幻小屋,30,花生四叶,1376312184,14,3,7155126,139
141,月球炼铜乐团,30,磷叶,1365807484,14,2,1696258,148
142,仓鼠的小窝,30,哈罗德,1365100895,14,2,2049552,149
143,幽水雅阁,30,栞,1361263076,14,2,3968462,152
144,皇家巡游,30,意如梦,1359489844,14,2,4855078,142
